Title,Title_URL,Time
MSI: Covid-19 clouds outlook of iron and steel,https://news.google.com/articles/CAIiECoscgAKJtljz2rzpjiB5rwqGQgEKhAIACoHCAow-N7eCjC60NYBMOu1sAM?hl=en-MY&gl=MY&ceid=MY%3Aen,8 days ago
South Korean steel scrap imports continue revival amid higher steel output,https://news.google.com/articles/CBMidmh0dHBzOi8vd3d3LmZhc3RtYXJrZXRzLmNvbS9hcnRpY2xlLzQwMDM2NDUvc291dGgta29yZWFuLXN0ZWVsLXNjcmFwLWltcG9ydHMtY29udGludWUtcmV2aXZhbC1hbWlkLWhpZ2hlci1zdGVlbC1vdXRwdXTSAQA?hl=en-MY&gl=MY&ceid=MY%3Aen,Yesterday
Green-push dilemma: China's steel curbs could cripple price control efforts,https://news.google.com/articles/CBMib2h0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9ncmVlbi1wdXNoLWRpbGVtbWEtY2hpbmFzLXN0ZWVsLWN1cmJzLWNvdWxkLWNyaXBwbGUtcHJpY2UtY29udHJvbC1lZmZvcnRzL9IBc2h0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9ncmVlbi1wdXNoLWRpbGVtbWEtY2hpbmFzLXN0ZWVsLWN1cmJzLWNvdWxkLWNyaXBwbGUtcHJpY2UtY29udHJvbC1lZmZvcnRzL2FtcC8?hl=en-MY&gl=MY&ceid=MY%3Aen,21 hours ago
Steel prices are up 219% since early 2020. What to expect next,https://news.google.com/articles/CBMiUGh0dHBzOi8vZm9ydHVuZS5jb20vMjAyMS8wOC8xNi9zdGVlbC1wcmljZXMtMjAyMS1jb3ZpZC1jb21tb2RpdGllcy1sdW1iZXItY29zdHMv0gFUaHR0cHM6Ly9mb3J0dW5lLmNvbS8yMDIxLzA4LzE2L3N0ZWVsLXByaWNlcy0yMDIxLWNvdmlkLWNvbW1vZGl0aWVzLWx1bWJlci1jb3N0cy9hbXAv?hl=en-MY&gl=MY&ceid=MY%3Aen,2 days ago
Chinese iron ore hits near 5-month low as steel curbs hurt,https://news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9jaGluZXNlLWlyb24tb3JlLWhpdHMtbmVhci01LW1vbnRoLWxvdy1hcy1zdGVlbC1jdXJicy1odXJ0L9IBZGh0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9jaGluZXNlLWlyb24tb3JlLWhpdHMtbmVhci01LW1vbnRoLWxvdy1hcy1zdGVlbC1jdXJicy1odXJ0L2FtcC8?hl=en-MY&gl=MY&ceid=MY%3Aen,21 hours ago
"Feintool Says Steel Bottlenecks, Prices Put Automotive Recovery at Risk -- Commodity Comment",https://news.google.com/articles/CBMihwFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vc3RvcnkvZmVpbnRvb2wtc2F5cy1zdGVlbC1ib3R0bGVuZWNrcy1wcmljZXMtcHV0LWF1dG9tb3RpdmUtcmVjb3ZlcnktYXQtcmlzay1jb21tb2RpdHktY29tbWVudC0yNzE2MjkzNjk5NznSAYsBaHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS9mZWludG9vbC1zYXlzLXN0ZWVsLWJvdHRsZW5lY2tzLXByaWNlcy1wdXQtYXV0b21vdGl2ZS1yZWNvdmVyeS1hdC1yaXNrLWNvbW1vZGl0eS1jb21tZW50LTI3MTYyOTM2OTk3OQ?hl=en-MY&gl=MY&ceid=MY%3Aen,4 hours ago
"Exporters want steel, pharmaceuticals sectors under RoDTEP scheme",https://news.google.com/articles/CAIiEIbtqPRBRGgswk0-HiRu_AoqGQgEKhAIACoHCAowsLXdCjCm3dEBMOThpAM?hl=en-MY&gl=MY&ceid=MY%3Aen,20 hours ago
"What is Steel Fabrication: Uses, Purpose, and Benefits - Robotics and Automation News",https://news.google.com/articles/CBMia2h0dHBzOi8vcm9ib3RpY3NhbmRhdXRvbWF0aW9ubmV3cy5jb20vMjAyMS8wOC8xOC93aGF0LWlzLXN0ZWVsLWZhYnJpY2F0aW9uLXVzZXMtcHVycG9zZS1hbmQtYmVuZWZpdHMvNDU1Njkv0gEA?hl=en-MY&gl=MY&ceid=MY%3Aen,17 hours ago
Here's How Much a $1000 Investment in Steel Dynamics Made 10 Years Ago Would Be Worth Today,https://news.google.com/articles/CBMifGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvaGVyZXMtaG93LW11Y2gtYS0lMjQxMDAwLWludmVzdG1lbnQtaW4tc3RlZWwtZHluYW1pY3MtbWFkZS0xMC15ZWFycy1hZ28td291bGQtYmUtd29ydGgtdG9kYXnSAYABaHR0cHM6Ly93d3cubmFzZGFxLmNvbS9hcnRpY2xlcy9oZXJlcy1ob3ctbXVjaC1hLSUyNDEwMDAtaW52ZXN0bWVudC1pbi1zdGVlbC1keW5hbWljcy1tYWRlLTEwLXllYXJzLWFnby13b3VsZC1iZS13b3J0aC10b2RheT9hbXA?hl=en-MY&gl=MY&ceid=MY%3Aen,2 hours ago
Stainless steel demand; European sourcing woes; global steel output down,https://news.google.com/articles/CBMilQFodHRwczovL3NwZW5kbWF0dGVycy5jb20vMjAyMS8wNy8zMC9jb21tb2RpdGllcy1yb3VuZHVwLXN0YWlubGVzcy1zdGVlbC1kZW1hbmQtcG93ZXJzLW5pY2tlbC1ldXJvcGVhbi1zb3VyY2luZy13b2VzLWdsb2JhbC1zdGVlbC1vdXRwdXQtZG93bi1pbi1qdW5lL9IBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,30-Jul
How a global steel manufacturer is paving the way in sustainability - Verdict Medical Devices,https://news.google.com/articles/CAIiEG_3BHLT-5vNFWj7suZ4UHwqMwgEKioIACIQNGd3J4FOKVIPukk2L3Ez1yoUCAoiEDRndyeBTilSD7pJNi9xM9cwzIrpBg?hl=en-MY&gl=MY&ceid=MY%3Aen,5 hours ago
China squeezes steel exports again to expand sector overhaul,https://news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LnRoZWVkZ2VtYXJrZXRzLmNvbS9hcnRpY2xlL2NoaW5hLXNxdWVlemVzLXN0ZWVsLWV4cG9ydHMtYWdhaW4tZXhwYW5kLXNlY3Rvci1vdmVyaGF1bNIBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,29-Jul
US Steel to shut another two blast furnaces for work in fourth quarter: spokeswoman,https://news.google.com/articles/CBMinwFodHRwczovL3d3dy5zcGdsb2JhbC5jb20vcGxhdHRzL2VuL21hcmtldC1pbnNpZ2h0cy9sYXRlc3QtbmV3cy9tZXRhbHMvMDgxODIxLXVzLXN0ZWVsLXRvLXNodXQtYW5vdGhlci10d28tYmxhc3QtZnVybmFjZXMtZm9yLXdvcmstaW4tZm91cnRoLXF1YXJ0ZXItc3Bva2Vzd29tYW7SAQA?hl=en-MY&gl=MY&ceid=MY%3Aen,20 hours ago
"Stainless steel, carbon steel, or fiberglass? How to determine the ideal enclosure material for your application",https://news.google.com/articles/CBMikAFodHRwczovL3d3dy5kZXNpZ253b3JsZG9ubGluZS5jb20vc3RhaW5sZXNzLXN0ZWVsLWNhcmJvbi1zdGVlbC1vci1maWJlcmdsYXNzLWhvdy10by1kZXRlcm1pbmUtdGhlLWlkZWFsLWVuY2xvc3VyZS1tYXRlcmlhbC1mb3IteW91ci1hcHBsaWNhdGlvbi_SAQA?hl=en-MY&gl=MY&ceid=MY%3Aen,18 days ago
Etihad Rail partners Al Ghurair Iron & Steel to transport its products in UAE,https://news.google.com/articles/CBMiemh0dHBzOi8vZ3VsZm5ld3MuY29tL2J1c2luZXNzL2V0aWhhZC1yYWlsLXBhcnRuZXJzLWFsLWdodXJhaXItaXJvbi0tc3RlZWwtdG8tdHJhbnNwb3J0LWl0cy1wcm9kdWN0cy1pbi11YWUtMS4xNjI5MzY4OTI4ODM20gF-aHR0cHM6Ly9ndWxmbmV3cy5jb20vYW1wL2J1c2luZXNzL2V0aWhhZC1yYWlsLXBhcnRuZXJzLWFsLWdodXJhaXItaXJvbi0tc3RlZWwtdG8tdHJhbnNwb3J0LWl0cy1wcm9kdWN0cy1pbi11YWUtMS4xNjI5MzY4OTI4ODM2?hl=en-MY&gl=MY&ceid=MY%3Aen,4 hours ago
Tata Steel rallies on rare double ratings upgrade,https://news.google.com/articles/CBMibmh0dHBzOi8vd3d3LnRoZXN0YXIuY29tLm15L2J1c2luZXNzL2J1c2luZXNzLW5ld3MvMjAyMS8wOC8wNi90YXRhLXN0ZWVsLXJhbGxpZXMtb24tcmFyZS1kb3VibGUtcmF0aW5ncy11cGdyYWRl0gEA?hl=en-MY&gl=MY&ceid=MY%3Aen,13 days ago
PMC offers bespoke solution for treating contaminated steel scrap,https://news.google.com/articles/CBMiZmh0dHBzOi8vd2FzdGUtbWFuYWdlbWVudC13b3JsZC5jb20vYS9wbWMtb2ZmZXJzLWJlc3Bva2Utc29sdXRpb24tZm9yLXRyZWF0aW5nLWNvbnRhbWluYXRlZC1zdGVlbC1zY3JhcNIBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,Yesterday
"TURKEY LONG STEEL EXPORTS: Prices down again on limited demand, softer scrap costs",https://news.google.com/articles/CBMikAFodHRwczovL3d3dy5tZXRhbGJ1bGxldGluLmNvbS9BcnRpY2xlLzQwMDM5MjUvQ2FyYm9uLXN0ZWVsL1RVUktFWS1MT05HLVNURUVMLUVYUE9SVFMtUHJpY2VzLWRvd24tYWdhaW4tb24tbGltaXRlZC1kZW1hbmQtc29mdGVyLXNjcmFwLWNvc3RzLmh0bWzSAQA?hl=en-MY&gl=MY&ceid=MY%3Aen,14 minutes ago
"U.S. Steel (X) Hits 52-Week High, Can the Run Continue?",https://news.google.com/articles/CAIiENlSKYhU7aUC4dH9fPDUFkkqMwgEKioIACIQT4VDYmxpaDN7y5JvscS9FioUCAoiEE-FQ2JsaWgze8uSb7HEvRYw7fHMBg?hl=en-MY&gl=MY&ceid=MY%3Aen,1 hour ago
Chinese steel prices fall on scepticism over emission policies,https://news.google.com/articles/CAIiELOSACfL6SsOvEvAG9vFNaYqFwgEKg8IACoHCAow-4fWBzD4z0gwwtp6?hl=en-MY&gl=MY&ceid=MY%3Aen,17 days ago
JSW Steel Employees Trust sells shares of JSW Steel,https://news.google.com/articles/CAIiEITLAL8aeDlp1ixqdSMf6CcqGQgEKhAIACoHCAownZiCCzDY7_4CMNPw8gU?hl=en-MY&gl=MY&ceid=MY%3Aen,Yesterday
"Exclusive: Indian steel realisations to hold in this quarter, Europe to see material improvement: Tata...",https://news.google.com/articles/CAIiEG5RXOc_tpv753QU6o9_blkqGQgEKhAIACoHCAowlbCPCzCrzaIDMOjUrgY?hl=en-MY&gl=MY&ceid=MY%3Aen,Yesterday
Majestic Steel USA Acquires Merit Steel USA,https://news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvbWFqZXN0aWMtc3RlZWwtdXNhLWFjcXVpcmVzLW1lcml0LXN0ZWVsLXVzYS0zMDEzNTc0MDYuaHRtbNIBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,Yesterday
"Pharma, steel exporters to take up RoDTEP exclusion with Piyush Goyal",https://news.google.com/articles/CBMilgFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbmV3cy9lY29ub215L2ZvcmVpZ24tdHJhZGUvcGhhcm1hLXN0ZWVsLWV4cG9ydGVycy10by10YWtlLXVwLXJvZHRlcC1leGNsdXNpb24td2l0aC1nb3lhbC9hcnRpY2xlc2hvdy84NTQzODg2NS5jbXPSAZEBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL25ld3MvZWNvbm9teS9mb3JlaWduLXRyYWRlL3BoYXJtYS1zdGVlbC1leHBvcnRlcnMtdG8tdGFrZS11cC1yb2R0ZXAtZXhjbHVzaW9uLXdpdGgtZ295YWwvYW1wX2FydGljbGVzaG93Lzg1NDM4ODY1LmNtcw?hl=en-MY&gl=MY&ceid=MY%3Aen,12 hours ago
Tata Steel interested in acquiring Vizag-based RINL: CEO TV Narendran,https://news.google.com/articles/CBMimQFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9idXNpbmVzcy9pbmRpYS1idXNpbmVzcy90YXRhLXN0ZWVsLWludGVyZXN0ZWQtaW4tYWNxdWlyaW5nLXZpemFnLWJhc2VkLXJpbmwtY2VvLXR2LW5hcmVuZHJhbi9hcnRpY2xlc2hvdy84NTM5NTc2NS5jbXPSAZQBaHR0cHM6Ly9tLnRpbWVzb2ZpbmRpYS5jb20vYnVzaW5lc3MvaW5kaWEtYnVzaW5lc3MvdGF0YS1zdGVlbC1pbnRlcmVzdGVkLWluLWFjcXVpcmluZy12aXphZy1iYXNlZC1yaW5sLWNlby10di1uYXJlbmRyYW4vYW1wX2FydGljbGVzaG93Lzg1Mzk1NzY1LmNtcw?hl=en-MY&gl=MY&ceid=MY%3Aen,2 days ago
ASIA STEEL SCRAP DIGEST: Japan sentiment weakens after drop in Kanto tender,https://news.google.com/articles/CBMikQFodHRwczovL3d3dy5tZXRhbGJ1bGxldGluLmNvbS9BcnRpY2xlLzQwMDM4MTkvU2NyYXAtYW5kLXNlY29uZGFyeS9BU0lBLVNURUVMLVNDUkFQLURJR0VTVC1KYXBhbi1zZW50aW1lbnQtd2Vha2Vucy1hZnRlci1kcm9wLWluLUthbnRvLXRlbmRlci5odG1s0gEA?hl=en-MY&gl=MY&ceid=MY%3Aen,2 hours ago
"Groundbreaking: ‘We’re small but we’re scrappy, welcome to the Steel District’",https://news.google.com/articles/CBMiemh0dHBzOi8vd3d3LmtlbG9sYW5kLmNvbS9uZXdzL3lvdXItbW9uZXktbWF0dGVycy9ncm91bmRicmVha2luZy13ZXJlLXNtYWxsLWJ1dC13ZXJlLXNjcmFwcHktd2VsY29tZS10by10aGUtc3RlZWwtZGlzdHJpY3Qv0gF-aHR0cHM6Ly93d3cua2Vsb2xhbmQuY29tL25ld3MveW91ci1tb25leS1tYXR0ZXJzL2dyb3VuZGJyZWFraW5nLXdlcmUtc21hbGwtYnV0LXdlcmUtc2NyYXBweS13ZWxjb21lLXRvLXRoZS1zdGVlbC1kaXN0cmljdC9hbXAv?hl=en-MY&gl=MY&ceid=MY%3Aen,11 hours ago
Iranian steel billet export prices slide in wake of decline in rebar futures,https://news.google.com/articles/CBMif2h0dHBzOi8vd3d3Lm1ldGFsYnVsbGV0aW4uY29tL0FydGljbGUvNDAwMzgyMS9JcmFuaWFuLXN0ZWVsLWJpbGxldC1leHBvcnQtcHJpY2VzLXNsaWRlLWluLXdha2Utb2YtZGVjbGluZS1pbi1yZWJhci1mdXR1cmVzLmh0bWzSAQA?hl=en-MY&gl=MY&ceid=MY%3Aen,2 hours ago
Steel rebar prices rise once again,https://news.google.com/articles/CBMiSWh0dHBzOi8vdHJpYnVuZS5jb20ucGsvc3RvcnkvMjMxNjIzNC9zdGVlbC1yZWJhci1wcmljZXMtcmlzZS1vbmNlLWFnYWluLTHSAU9odHRwczovL3RyaWJ1bmUuY29tLnBrL3N0b3J5LzIzMTYyMzQvc3RlZWwtcmViYXItcHJpY2VzLXJpc2Utb25jZS1hZ2Fpbi0xP2FtcD0x?hl=en-MY&gl=MY&ceid=MY%3Aen,10 hours ago
Australia's BlueScope Steel seeks alternatives to coal,https://news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LmFyZ3VzbWVkaWEuY29tL2VuL25ld3MvMjI0NTM0MS1hdXN0cmFsaWFzLWJsdWVzY29wZS1zdGVlbC1zZWVrcy1hbHRlcm5hdGl2ZXMtdG8tY29hbNIBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,Yesterday
"POSCO to finalize steel price deal with Hyundai, Samsung",https://news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9wb3Njby10by1maW5hbGl6ZS1zdGVlbC1wcmljZS1kZWFsLXdpdGgtaHl1bmRhaS1zYW1zdW5nL9IBYWh0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9wb3Njby10by1maW5hbGl6ZS1zdGVlbC1wcmljZS1kZWFsLXdpdGgtaHl1bmRhaS1zYW1zdW5nL2FtcC8?hl=en-MY&gl=MY&ceid=MY%3Aen,9 hours ago
China wants to curb steel production. Some say it's 'virtually impossible',https://news.google.com/articles/CAIiEE_UV7VUYpp2Wr8r_3AoHs8qGQgEKhAIACoHCAow2Nb3CjDivdcCMP3ungY?hl=en-MY&gl=MY&ceid=MY%3Aen,17 days ago
Customs seizes RM10mil worth of smuggled steel in Klang,https://news.google.com/articles/CAIiEEkAGqQT8e8pTm_F_2cL6-UqGQgEKhAIACoHCAow-N7eCjC60NYBMLfbhwM?hl=en-MY&gl=MY&ceid=MY%3Aen,14 days ago
Steel Dynamics Stock Jumps 16% In A Week – Here’s Why,https://news.google.com/articles/CAIiEF1eVbjgm0LYVe9wp3z3ZjMqFQgEKg0IACoGCAowrqkBMKBFMLKAAg?hl=en-MY&gl=MY&ceid=MY%3Aen,2 days ago
China puts growth ahead of climate with surge in coal-powered steel mills,https://news.google.com/articles/CAIiEI1jg5ns-DGBvOgQm42Jk70qGAgEKg8IACoHCAow-4fWBzD4z0gw_fCpBg?hl=en-MY&gl=MY&ceid=MY%3Aen,6 days ago
Iron Ore Tumbles as China's Steel Sector Revamp Curbs Demand,https://news.google.com/articles/CAIiEMCDeh5vtGKV6x30Mtpm3w8qGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?hl=en-MY&gl=MY&ceid=MY%3Aen,30-Jul
"Iron ore sell-off resumes, but stainless steel shines",https://news.google.com/articles/CBMiWmh0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9pcm9uLW9yZS1zZWxsLW9mZi1yZXN1bWVzLWJ1dC1zdGFpbmxlc3Mtc3RlZWwtc2hpbmVzL9IBXmh0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9pcm9uLW9yZS1zZWxsLW9mZi1yZXN1bWVzLWJ1dC1zdGFpbmxlc3Mtc3RlZWwtc2hpbmVzL2FtcC8?hl=en-MY&gl=MY&ceid=MY%3Aen,6 days ago
Steel Panther are holding open auditions to recruit a new bassist following Lexxi Foxx’s departure,https://news.google.com/articles/CAIiEPaCKep2bh23xStWMTx7IjUqMwgEKioIACIQH_BelhYjzX0pLWaXnsDBHioUCAoiEB_wXpYWI819KS1ml57AwR4w64vKBg?hl=en-MY&gl=MY&ceid=MY%3Aen,Yesterday
"Stocks to Watch: Canara Bank, Tata Steel, HAL, HDFC Bank, Future Retail",https://news.google.com/articles/CAIiEKRK5fdLr9eAhiUdV91mOUMqFggEKg4IACoGCAowxLQ_MNevCDD45Co?hl=en-MY&gl=MY&ceid=MY%3Aen,23 hours ago
Refractory Materials Market for GCC Steel Industry 2021-2025 | Technavio,https://news.google.com/articles/CBMif2h0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvcmVmcmFjdG9yeS1tYXRlcmlhbHMtbWFya2V0LWZvci1nY2Mtc3RlZWwtaW5kdXN0cnktMjAyMS0yMDI1LS10ZWNobmF2aW8tMzAxMzU3ODA5Lmh0bWzSAQA?hl=en-MY&gl=MY&ceid=MY%3Aen,Yesterday
Metalloinvest's sales revenues rise in H1 amid higher iron ore and steel prices,https://news.google.com/articles/CBMijAFodHRwczovL3d3dy5zdGVlbG9yYmlzLmNvbS9zdGVlbC1uZXdzL2xhdGVzdC1uZXdzL21ldGFsbG9pbnZlc3RzLXNhbGVzLXJldmVudWVzLXJpc2UtaW4taDEtYW1pZC1oaWdoZXItaXJvbi1vcmUtYW5kLXN0ZWVsLXByaWNlcy0xMjExOTcxLmh0bdIBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,5 hours ago
West Eagles sweep Steel Bucket Relay titles with a close win in the boys race and a romp in the girls race,https://news.google.com/articles/CBMipAFodHRwczovL3d3dy5hZG4uY29tL3Nwb3J0cy9oaWdoLXNjaG9vbC1zcG9ydHMvMjAyMS8wOC8xOC93ZXN0LWVhZ2xlcy1zd2VlcC1zdGVlbC1idWNrZXQtcmVsYXktdGl0bGVzLXdpdGgtYS1jbG9zZS13aW4taW4tdGhlLWJveXMtcmFjZS1hbmQtYS1yb21wLWluLXRoZS1naXJscy1yYWNlL9IBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,7 hours ago
Pittsburg-based steel company reaches $4 million settlement after violating environmental regulations,https://news.google.com/articles/CBMijQFodHRwczovL3d3dy5lYXN0YmF5dGltZXMuY29tLzIwMjEvMDgvMTgvcGl0dHNidXJnLWJhc2VkLXN0ZWVsLWNvbXBhbnktcmVhY2hlcy00LW1pbGxpb24tc2V0dGxlbWVudC1hZnRlci12aW9sYXRpbmctZW52aXJvbm1lbnRhbC1yZWd1bGF0aW9ucy_SAZEBaHR0cHM6Ly93d3cuZWFzdGJheXRpbWVzLmNvbS8yMDIxLzA4LzE4L3BpdHRzYnVyZy1iYXNlZC1zdGVlbC1jb21wYW55LXJlYWNoZXMtNC1taWxsaW9uLXNldHRsZW1lbnQtYWZ0ZXItdmlvbGF0aW5nLWVudmlyb25tZW50YWwtcmVndWxhdGlvbnMvYW1wLw?hl=en-MY&gl=MY&ceid=MY%3Aen,19 hours ago
Japan's FeNi producer hints at stainless steel recovery,https://news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LmFyZ3VzbWVkaWEuY29tL2VuL25ld3MvMjI0MjY5NC1qYXBhbnMtZmVuaS1wcm9kdWNlci1oaW50cy1hdC1zdGFpbmxlc3Mtc3RlZWwtcmVjb3ZlcnnSAQA?hl=en-MY&gl=MY&ceid=MY%3Aen,9 days ago
Global investor group begins to step up pressure on steel industry,https://news.google.com/articles/CAIiEKxzh7XjfkWIIcWb3gJgVksqFwgEKg8IACoHCAow-4fWBzD4z0gw4tp6?hl=en-MY&gl=MY&ceid=MY%3Aen,15 days ago
Price hikes lift Tata Steel but Europe needs a fix,https://news.google.com/articles/CAIiEDKiWGK2QSbs_66gRKGSpzcqFggEKg4IACoGCAowxLQ_MNevCDD45Co?hl=en-MY&gl=MY&ceid=MY%3Aen,3 days ago
Planes leaving half empty after Taliban set up ring of steel,https://news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LnRoZXRpbWVzLmNvLnVrL2FydGljbGUvcGxhbmVzLWxlYXZpbmctaGFsZi1lbXB0eS1hZnRlci10YWxpYmFuLXNldC11cC1yaW5nLW9mLXN0ZWVsLTZyZHZwMndkYtIBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,16 hours ago
China Looks to More Export Tariffs to Tame Booming Steel Sector,https://news.google.com/articles/CAIiEKtdYvKKXViUF0LSHPXi2z4qGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?hl=en-MY&gl=MY&ceid=MY%3Aen,27-Jul
"EU CBAM for Iron, Steel, Cement, Fertilisers, Aluminium, Electricity",https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3Lm5hdGxhd3Jldmlldy5jb20vYXJ0aWNsZS9ldXJvcGVhbi1jb21taXNzaW9uLXByb3Bvc2VzLWNhcmJvbi1ib3JkZXItYWRqdXN0bWVudC1tZWNoYW5pc20tY2JhbS1pcm9uLXN0ZWVs0gF4aHR0cHM6Ly93d3cubmF0bGF3cmV2aWV3LmNvbS9hcnRpY2xlL2V1cm9wZWFuLWNvbW1pc3Npb24tcHJvcG9zZXMtY2FyYm9uLWJvcmRlci1hZGp1c3RtZW50LW1lY2hhbmlzbS1jYmFtLWlyb24tc3RlZWw_YW1w?hl=en-MY&gl=MY&ceid=MY%3Aen,Yesterday
China's Top Steel Body Expects Wider Output Cuts as Demand Slows,https://news.google.com/articles/CAIiEDRgjQ6jU-UMaOkh3YQb4Z8qGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?hl=en-MY&gl=MY&ceid=MY%3Aen,18 days ago
