Title,Title_URL,Image,wewyrc_URL,wewyrc,Time,u26fgb,u26fgb1,u26fgb2
Green-push dilemma: China's steel curbs could cripple price control efforts,https://news.google.com/articles/CBMib2h0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9ncmVlbi1wdXNoLWRpbGVtbWEtY2hpbmFzLXN0ZWVsLWN1cmJzLWNvdWxkLWNyaXBwbGUtcHJpY2UtY29udHJvbC1lZmZvcnRzL9IBc2h0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9ncmVlbi1wdXNoLWRpbGVtbWEtY2hpbmFzLXN0ZWVsLWN1cmJzLWNvdWxkLWNyaXBwbGUtcHJpY2UtY29udHJvbC1lZmZvcnRzL2FtcC8?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/M7RA-wqTD01WpfbZdocZraNPynuax3NXmiX6jxEb9M-wARBGpYESdzFdk7kDUY6ANIFIYQdFK3-RnWNWc87_MrXf2z5WWpEIx_PP9LU6rQEl3FP2I6TmGCYFwAW3fdsr28-x35lvwotA3waQgA=s0-w100-h100-p-rw-df,,Hellenic Shipping News Worldwide,21 hours ago,bookmark_border,share,more_vert
Steel prices are up 219% since early 2020. What to expect next,https://news.google.com/articles/CBMiUGh0dHBzOi8vZm9ydHVuZS5jb20vMjAyMS8wOC8xNi9zdGVlbC1wcmljZXMtMjAyMS1jb3ZpZC1jb21tb2RpdGllcy1sdW1iZXItY29zdHMv0gFUaHR0cHM6Ly9mb3J0dW5lLmNvbS8yMDIxLzA4LzE2L3N0ZWVsLXByaWNlcy0yMDIxLWNvdmlkLWNvbW1vZGl0aWVzLWx1bWJlci1jb3N0cy9hbXAv?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/xZLnHSLc8EZTPIog00GVK53Zz4dqKCbgVMjb9rONUTFsGnFEd9owPE5YaCKIrnp0XCC8k9DqcBgVwevutqzW9TCxS2s6PGXbWn-59_ybSvDM5aU-2uANATuUnRhuyfuS7167slYgUVB71_diIbJfZchXoWNfbAYr4VIum2iEIvnbx50=s0-w100-h100-p-rw-df,,Fortune,2 days ago,bookmark_border,share,more_vert
Chinese iron ore hits near 5-month low as steel curbs hurt,https://news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9jaGluZXNlLWlyb24tb3JlLWhpdHMtbmVhci01LW1vbnRoLWxvdy1hcy1zdGVlbC1jdXJicy1odXJ0L9IBZGh0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9jaGluZXNlLWlyb24tb3JlLWhpdHMtbmVhci01LW1vbnRoLWxvdy1hcy1zdGVlbC1jdXJicy1odXJ0L2FtcC8?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/2ZtAnysaKPi53_4rHmYmJ_uavscEWZtGY3mq3cooTtXqfGtYAVSpQY-96oFoferRrabjuBK2alENJPEUcvifuUPrEgh31Zg4Me1Qe1i0ldTCjpQvBbcTRH17UXIL3x8cZf9M1VnoHqqMnAQ_ieoZ8w=s0-w100-h100-p-rw-df,,Hellenic Shipping News Worldwide,21 hours ago,bookmark_border,share,more_vert
"Feintool Says Steel Bottlenecks, Prices Put Automotive Recovery at Risk -- Commodity Comment",https://news.google.com/articles/CBMihwFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vc3RvcnkvZmVpbnRvb2wtc2F5cy1zdGVlbC1ib3R0bGVuZWNrcy1wcmljZXMtcHV0LWF1dG9tb3RpdmUtcmVjb3ZlcnktYXQtcmlzay1jb21tb2RpdHktY29tbWVudC0yNzE2MjkzNjk5NznSAYsBaHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS9mZWludG9vbC1zYXlzLXN0ZWVsLWJvdHRsZW5lY2tzLXByaWNlcy1wdXQtYXV0b21vdGl2ZS1yZWNvdmVyeS1hdC1yaXNrLWNvbW1vZGl0eS1jb21tZW50LTI3MTYyOTM2OTk3OQ?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/uaGgOvn-W-LqoQ86gIguojqEo1TP7bEN14XYKj6AVb0pfObtyJqZGvb4t9WbRgRJNmNx7xeUiHJufNICh1FOBKWwVzzW5SSiT0NsqHgf-syZB4k=s0-w100-h100-p-rw-df,,MarketWatch,4 hours ago,bookmark_border,share,more_vert
"Exporters want steel, pharmaceuticals sectors under RoDTEP scheme",https://news.google.com/articles/CAIiEIbtqPRBRGgswk0-HiRu_AoqGQgEKhAIACoHCAowsLXdCjCm3dEBMOThpAM?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/KXAd09B2CgcduUqcr411QROslESbWBKazmEzJpsP4E6gI61_mCaKlW5G4WGDz93ika69-N5WBRJzI4fKSPV57Haswqoej--N97dcGGHdV7yxNrL5CXywA-GJOQJ-XpiuyjIHQfpcw7i4mJGK6aIikVmm5T5Gb_LguvSg-t7aPLdqOe7Xf7zWnde5y9zWm42B-Rai3OJpsul0jq4nIvMOzrOp59XNqOjeUd-SoZTgMmFje-FPTMxfkySmpnbGGjR8Yt2UjB2BBJA=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAqBwgKMLC13Qowpt3RAQ?hl=en-MY&gl=MY&ceid=MY%3Aen,Business Standard,20 hours ago,bookmark_border,share,more_vert
"What is Steel Fabrication: Uses, Purpose, and Benefits - Robotics and Automation News",https://news.google.com/articles/CBMia2h0dHBzOi8vcm9ib3RpY3NhbmRhdXRvbWF0aW9ubmV3cy5jb20vMjAyMS8wOC8xOC93aGF0LWlzLXN0ZWVsLWZhYnJpY2F0aW9uLXVzZXMtcHVycG9zZS1hbmQtYmVuZWZpdHMvNDU1Njkv0gEA?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/1WfeJ06ivKE8EH0eFQ0FDA4Ebbfzk5ltDbIOwxYE5sNjFJkwlUmpRvUsLyOWanogesRTV2H_Uk0Pg7qzE0A5tvwUDnkvvk8L2DrDt2bpN2gkFM4cPc4iDDIBbY196hQAxcv09tFBDPR94i_XnMi0UgL11sM=s0-w100-h100-p-rw-df,,Robotics and Automation News,17 hours ago,bookmark_border,share,more_vert
Here's How Much a $1000 Investment in Steel Dynamics Made 10 Years Ago Would Be Worth Today,https://news.google.com/articles/CBMifGh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvaGVyZXMtaG93LW11Y2gtYS0lMjQxMDAwLWludmVzdG1lbnQtaW4tc3RlZWwtZHluYW1pY3MtbWFkZS0xMC15ZWFycy1hZ28td291bGQtYmUtd29ydGgtdG9kYXnSAYABaHR0cHM6Ly93d3cubmFzZGFxLmNvbS9hcnRpY2xlcy9oZXJlcy1ob3ctbXVjaC1hLSUyNDEwMDAtaW52ZXN0bWVudC1pbi1zdGVlbC1keW5hbWljcy1tYWRlLTEwLXllYXJzLWFnby13b3VsZC1iZS13b3J0aC10b2RheT9hbXA?hl=en-MY&gl=MY&ceid=MY%3Aen,,,Nasdaq,2 hours ago,bookmark_border,share,more_vert
Stainless steel demand; European sourcing woes; global steel output down,https://news.google.com/articles/CBMilQFodHRwczovL3NwZW5kbWF0dGVycy5jb20vMjAyMS8wNy8zMC9jb21tb2RpdGllcy1yb3VuZHVwLXN0YWlubGVzcy1zdGVlbC1kZW1hbmQtcG93ZXJzLW5pY2tlbC1ldXJvcGVhbi1zb3VyY2luZy13b2VzLWdsb2JhbC1zdGVlbC1vdXRwdXQtZG93bi1pbi1qdW5lL9IBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/Aqwk73ZzT4zaui2vwC3zx2wFw1dD_Wx-62TMciU6nwzQR6-xaeY-sVJY1TMC3ESnuz_C5CgTUauBdr7AMxz2zb-A1-ejeT_t-DliMyXUzvyG7TAkspFkObh48d2NKANMBAsS-FI=s0-w100-h100-p-rw-df,,Spend Matters,30-Jul,bookmark_border,share,more_vert
How a global steel manufacturer is paving the way in sustainability - Verdict Medical Devices,https://news.google.com/articles/CAIiEG_3BHLT-5vNFWj7suZ4UHwqMwgEKioIACIQNGd3J4FOKVIPukk2L3Ez1yoUCAoiEDRndyeBTilSD7pJNi9xM9cwzIrpBg?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/v1yASRStIlyxu-YPwVW_0mlUz6y_gKk8O21BCm_8DeqYJx0ANUAX4RJ6b6IL5BmQBRIJsvcaILyfJJsrTZidEDjuRwo9cFV1AgZKHgG2-tVR3JSIJIxhGgR83wwrvL62bmYu37zQ007HQd9kr7woiO7Dwe3wXgQnuNnhvOdcze_ct8gmURP2CFi7Pws=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAiEDRndyeBTilSD7pJNi9xM9cqFAgKIhA0Z3cngU4pUg-6STYvcTPX?hl=en-MY&gl=MY&ceid=MY%3Aen,Medical Device Network,5 hours ago,bookmark_border,share,more_vert
China squeezes steel exports again to expand sector overhaul,https://news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LnRoZWVkZ2VtYXJrZXRzLmNvbS9hcnRpY2xlL2NoaW5hLXNxdWVlemVzLXN0ZWVsLWV4cG9ydHMtYWdhaW4tZXhwYW5kLXNlY3Rvci1vdmVyaGF1bNIBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/V732sL-vUP6lXp2xWl2Z7ZA35ufeg5KgHVoz1YoW8-U8PVv3wtZBiqHL0vyTMc6P_s5C3kg81KLqttQjMXTmDG_bd93fvMFmAqiFvUFzd_mP-sk7KTvvLT3AUpdxOf9CilbfR0BcbvJUjNe0amugMTtoRCP313EkYKF5oCEJ2AlheysEIRzQBK4kJlgT89Q=s0-w100-h100-p-rw-df,,The Edge Markets MY,29-Jul,bookmark_border,share,more_vert
US Steel to shut another two blast furnaces for work in fourth quarter: spokeswoman,https://news.google.com/articles/CBMinwFodHRwczovL3d3dy5zcGdsb2JhbC5jb20vcGxhdHRzL2VuL21hcmtldC1pbnNpZ2h0cy9sYXRlc3QtbmV3cy9tZXRhbHMvMDgxODIxLXVzLXN0ZWVsLXRvLXNodXQtYW5vdGhlci10d28tYmxhc3QtZnVybmFjZXMtZm9yLXdvcmstaW4tZm91cnRoLXF1YXJ0ZXItc3Bva2Vzd29tYW7SAQA?hl=en-MY&gl=MY&ceid=MY%3Aen,,,S&P Global,20 hours ago,bookmark_border,share,more_vert
"Stainless steel, carbon steel, or fiberglass? How to determine the ideal enclosure material for your application",https://news.google.com/articles/CBMikAFodHRwczovL3d3dy5kZXNpZ253b3JsZG9ubGluZS5jb20vc3RhaW5sZXNzLXN0ZWVsLWNhcmJvbi1zdGVlbC1vci1maWJlcmdsYXNzLWhvdy10by1kZXRlcm1pbmUtdGhlLWlkZWFsLWVuY2xvc3VyZS1tYXRlcmlhbC1mb3IteW91ci1hcHBsaWNhdGlvbi_SAQA?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/VKw4JF5JdoI_URWFAQKm4oM-bJGPpBcvUG1FvbnX484EiY4BguTAWXUo_gjocTyILoA0laN1Wl0u2nVY7m7iTLckY6kbLee8d3qt0tLJ5xEVdeIkXOPaONuDMnoS4bTT1fC_tLoMH9qw0RI2LiWS171dCnFC4MJtsrIhPwAlBL5GbbXZjgSfMsYEOXVjgsP4VA=s0-w100-h100-p-rw-df,,Design World Network,18 days ago,bookmark_border,share,more_vert
Etihad Rail partners Al Ghurair Iron & Steel to transport its products in UAE,https://news.google.com/articles/CBMiemh0dHBzOi8vZ3VsZm5ld3MuY29tL2J1c2luZXNzL2V0aWhhZC1yYWlsLXBhcnRuZXJzLWFsLWdodXJhaXItaXJvbi0tc3RlZWwtdG8tdHJhbnNwb3J0LWl0cy1wcm9kdWN0cy1pbi11YWUtMS4xNjI5MzY4OTI4ODM20gF-aHR0cHM6Ly9ndWxmbmV3cy5jb20vYW1wL2J1c2luZXNzL2V0aWhhZC1yYWlsLXBhcnRuZXJzLWFsLWdodXJhaXItaXJvbi0tc3RlZWwtdG8tdHJhbnNwb3J0LWl0cy1wcm9kdWN0cy1pbi11YWUtMS4xNjI5MzY4OTI4ODM2?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/vRdELPHB3mQeSnORiNgCJEnJpwXfYGK_Jw8SpsLEWzzVottfziuXT4uc48Cyo5-W5DPaDRI75QU_wsWo7JGMtwjcYJmkFMijYDLWj6aVJPVcWFTxkKXN9LIzIjD8t9ip3I2tIRP33911Ni8BsFoFazYPn_N8c1JkQbjEesAO9orSINMnqeDkNAXJhUGFkKKZYYRWd9q32eXAv_UlFbymdcqb46I2uH8X6YeDtDCOEa07pOk=s0-w100-h100-p-rw-df,,Gulf News,4 hours ago,bookmark_border,share,more_vert
Tata Steel rallies on rare double ratings upgrade,https://news.google.com/articles/CBMibmh0dHBzOi8vd3d3LnRoZXN0YXIuY29tLm15L2J1c2luZXNzL2J1c2luZXNzLW5ld3MvMjAyMS8wOC8wNi90YXRhLXN0ZWVsLXJhbGxpZXMtb24tcmFyZS1kb3VibGUtcmF0aW5ncy11cGdyYWRl0gEA?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/7uje5alrLNSjXowKB2D_4jfP1nbjo1OAa6-lPP8-egz7URXLhIPXIrUCbtmXtFiBGtX2T18R-qcGaeh3iK-ASPaKlKkuPqjT5COmvERDF1MsegmMOfDDc6NrVs-ivw=s0-w100-h100-p-rw-df,,The Star Online,13 days ago,bookmark_border,share,more_vert
PMC offers bespoke solution for treating contaminated steel scrap,https://news.google.com/articles/CBMiZmh0dHBzOi8vd2FzdGUtbWFuYWdlbWVudC13b3JsZC5jb20vYS9wbWMtb2ZmZXJzLWJlc3Bva2Utc29sdXRpb24tZm9yLXRyZWF0aW5nLWNvbnRhbWluYXRlZC1zdGVlbC1zY3JhcNIBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/GR2AwScVyj1uVwl1fg-Z5XWckZPyvT6yEGsQ40cdG8L88v-EHbcfZoPn4XFls1CYE25wR23UtgGT_JiW-SeVVd-weWQWngsfSxbGOMkkHZYXYmxbFARE6B8=s0-w100-h100-p-rw-df,,Waste Management World,Yesterday,bookmark_border,share,more_vert
"TURKEY LONG STEEL EXPORTS: Prices down again on limited demand, softer scrap costs",https://news.google.com/articles/CBMikAFodHRwczovL3d3dy5tZXRhbGJ1bGxldGluLmNvbS9BcnRpY2xlLzQwMDM5MjUvQ2FyYm9uLXN0ZWVsL1RVUktFWS1MT05HLVNURUVMLUVYUE9SVFMtUHJpY2VzLWRvd24tYWdhaW4tb24tbGltaXRlZC1kZW1hbmQtc29mdGVyLXNjcmFwLWNvc3RzLmh0bWzSAQA?hl=en-MY&gl=MY&ceid=MY%3Aen,,,Metalbulletin.com,14 minutes ago,bookmark_border,share,more_vert
"U.S. Steel (X) Hits 52-Week High, Can the Run Continue?",https://news.google.com/articles/CAIiENlSKYhU7aUC4dH9fPDUFkkqMwgEKioIACIQT4VDYmxpaDN7y5JvscS9FioUCAoiEE-FQ2JsaWgze8uSb7HEvRYw7fHMBg?hl=en-MY&gl=MY&ceid=MY%3Aen,,https://news.google.com/publications/CAAiEE-FQ2JsaWgze8uSb7HEvRYqFAgKIhBPhUNibGloM3vLkm-xxL0W?hl=en-MY&gl=MY&ceid=MY%3Aen,Nasdaq,1 hour ago,bookmark_border,share,more_vert
Chinese steel prices fall on scepticism over emission policies,https://news.google.com/articles/CAIiELOSACfL6SsOvEvAG9vFNaYqFwgEKg8IACoHCAow-4fWBzD4z0gwwtp6?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/cYmwBhOiuHrgLyLxFu4DKfvlKsA0nw8ccMOae_LP7P4C68K1t7bDuAG40xl8NwBXpacwCXojQODvxUgmiW-gMx_MF3LJL2ZZdnvRLYfZ8c-oZ4-rCBmhyZl-7yR1syDGnBJh8ppohbuSovJtHq53OIzwgP8=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAqBwgKMPuH1gcw-M9I?hl=en-MY&gl=MY&ceid=MY%3Aen,Financial Times,17 days ago,bookmark_border,share,more_vert
JSW Steel Employees Trust sells shares of JSW Steel,https://news.google.com/articles/CAIiEITLAL8aeDlp1ixqdSMf6CcqGQgEKhAIACoHCAownZiCCzDY7_4CMNPw8gU?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/kxiRRnlzGM2bu4p8wHg03ziZrueOeW6SQvy21hOaRT6e9vmvJqpFtSSZCZ4MMFdgXruYN8o0C7-n4q7EbYV_uAW1nLTnQ4n7a00wpvVNIiKNBKNu7H12mlhNU9KuS56ZlfHcNEUQH1xUxFkKHG6cINbQHxsQvpplps44L7_ChmB0t1dPDr_N=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAqBwgKMJ2Yggsw2O_-Ag?hl=en-MY&gl=MY&ceid=MY%3Aen,BusinessLine,Yesterday,bookmark_border,share,more_vert
"Exclusive: Indian steel realisations to hold in this quarter, Europe to see material improvement: Tata...",https://news.google.com/articles/CAIiEG5RXOc_tpv753QU6o9_blkqGQgEKhAIACoHCAowlbCPCzCrzaIDMOjUrgY?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/89auz3bGPLo58bouCmmf9EP6M3s_HcHz1k9c1sCUgPVF8trYpeEgL9-_ogO6hf0kCCOuAhO6CI49v69boDTPl5kCCEnd8kZRPYojM6B0MeBv5-w9PRmsOYjPzM84wLeE7QU1AuyyhBfR=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAqBwgKMJWwjwswq82iAw?hl=en-MY&gl=MY&ceid=MY%3Aen,Moneycontrol,Yesterday,bookmark_border,share,more_vert
